date,GDP,Hours_worked,Real_wage_growth,GDP_Deflator_Inflation,Core_PCE_Inflation,short_term_interest,Consumption_growth,Investment_growth,Spread,expected_inflation,long_term_interest,tfp,GDI
1989-12-31,0.683966899172539,-152.95509567316736,0.7154785330729552,0.7098074802074805,0.9124525065434597,2.1525,0.2873861994618032,-1.683097993152316,0.4750000000000001,1.471906975,1.9775,-1.004821455936835,0.5972451504453691
1990-03-31,1.3596213564579074,-152.62367059325146,0.8311706273705199,1.0733186391957084,1.1449570786077778,2.0625,0.4051184081755643,-0.08921262433592148,0.41999999999999993,1.43398715,2.105,0.3934967870960656,1.2223879592764941
1990-06-30,1.2662144991869795,-153.22458282146135,0.814686762697836,1.114383528426277,1.1103793014482832,2.06,-0.1143085201378291,-2.9283772477466385,0.4075000000000002,1.4074211416666667,2.17,0.11497734833916838,1.45904446706
1990-09-30,0.688992923088394,-153.98571481137333,0.45518590067091247,0.8524597597557637,1.0060313852015668,2.04,0.575743796104522,-1.2979068772128954,0.43000000000000016,1.4248863250000001,2.175,-1.0218422125569862,0.551720449349391
1990-12-31,-0.44332050548314683,-154.55238258104802,0.012705314631794584,0.7420688206555504,0.8361389807233444,1.935,-0.46301642788639796,-3.0906208263033363,0.5499999999999998,1.4152951583333335,2.1,-2.090311204962086,0.007285033671289298
1991-03-31,0.29212899452915053,-155.54919708903174,-0.3938110639906345,0.9743403399463446,0.8826240015021192,1.6075,-1.0406887488667138,-3.1574926537407677,0.5449999999999999,1.4439063333333335,2.005,-1.1805975853487036,0.5533728962419993
1991-06-30,1.306123178768459,-155.7958185747128,1.1723252405064055,0.7311235137420269,0.7689679444503383,1.465,0.4338638486031776,-0.4565761873443819,0.4474999999999998,1.4440169250000001,2.0325,0.7878761254444688,0.8214179431645707
1991-09-30,1.038772604836069,-156.09804275809523,0.40685381213399485,0.7794322564790512,0.8952897530495108,1.4125,0.15163723392515038,-0.8053913200834373,0.43499999999999983,1.4416120499999998,1.985,-0.007408380089539952,0.8063698043340839
1991-12-31,0.6629473021774412,-156.35882327201904,0.7361042173695764,0.5911091974515337,0.7847529472882364,1.205,-0.19829888661240247,-0.7601332820362572,0.5125000000000002,1.4975252666666665,1.8375,-0.49530244573042287,0.6653597734432193
1992-03-31,1.3400921331449211,-156.34300935489455,2.2014400736896977,0.37069313634336964,0.7614050344877832,1.005,1.887332634806782,0.34476606581108626,0.47499999999999987,1.5083157666666667,1.825,2.924732167495529,1.84941391150244
1992-06-30,1.453144021638808,-155.6029506195346,0.32677682353675075,0.5998606554793007,0.7043107455095843,0.9425,0.5151153407197739,2.597845494119788,0.4375000000000002,1.481943775,1.845,0.15987325430750185,1.207209138250187
1992-09-30,1.2026391174062567,-155.8713369671376,0.6421634424210787,0.4881326690869159,0.5896060525127034,0.815,0.9448292253000368,0.6256617873170001,0.5199999999999998,1.5466199499999997,1.655,-0.28133382129753925,0.5389054048892561
1992-12-31,1.4173468915731569,-156.10937967065473,-0.1470596520566747,0.6850971179848564,0.7306165644378915,0.7575,0.888226571340045,2.240688243848332,0.5324999999999998,1.5620882416666668,1.685,-0.2403046196996059,1.3177930642256364
1993-03-31,0.47289786482291873,-155.97327614191477,-1.3011154959818139,0.5594927164526808,0.6871932580989615,0.76,0.16503422301283877,0.26916604682583056,0.53,1.5858933666666668,1.57,-2.257826594297395,-0.04207252203736189
1993-06-30,0.9431055797857635,-155.35813773698078,0.15199862631569694,0.5938827342547803,0.7567045163417774,0.75,0.751268269064731,1.2982064926717385,0.5375000000000001,1.6172680416666667,1.4975,-0.4019319338161028,1.5594082186123792
1993-09-30,0.8053923300715748,-154.77669875530037,-0.5578675789237431,0.5919297000459345,0.557020407552411,0.765,0.6853382086667636,0.8931390605470213,0.5,1.6373018250000002,1.405,-1.2807326767198333,0.5268739251639065
1993-12-31,1.6116351759682956,-154.6246779822905,0.18165647434227883,0.5436605839807207,0.5135069315991281,0.7475,0.6224060431865297,3.4219198617890356,0.4849999999999999,1.6402180583333332,1.4025,1.223081416302066,2.1871540084649865
1994-03-31,1.20569426828383,-154.16899971034877,-1.056267289614926,0.47771036866075534,0.4527565318546145,0.8025,0.7787719490203848,1.0109640657754326,0.44499999999999984,1.6079135416666666,1.5175,-1.268103607153771,0.7904091138288827
1994-06-30,1.6055058532337796,-153.60908497382005,0.35025334994380763,0.48155909332496805,0.6701312587212627,0.985,0.6285488756378577,1.6230891009314519,0.3799999999999999,1.5251550083333334,1.77,-0.07604104914579814,1.798025045287499
1994-09-30,0.8860974505235486,-153.34941214432106,-0.6016017538152119,0.5720883039003866,0.5567507311229569,1.1225,0.6327238303502014,0.4180208480523362,0.37749999999999995,1.5132832166666668,1.8325,-1.1281313282758711,1.2365340852645623
1994-12-31,1.400907415555075,-152.65566791668832,0.23490334321912276,0.5400908220747347,0.5067913396264778,1.2925,0.7256876124391631,1.969724269711115,0.34250000000000025,1.4604168333333334,1.96,1.1267934121091423,1.4517664927762741
